#run,max_H,min_H,a_BL_mean,a_BL_median,a_BL_var,i_BL_mean_i,i_BL_var_i,i_BL_mean_e,i_BL_var_e,colless,sackin,WD_ratio,DeltaW,max_ladder,staircaseness_1,staircaseness_2,max_L,t_max_L,slope_1,slope_2,slope_ratio
794,49.771484,46.001831,47.27621588,47.16272,1.14989011547794,3.4375,10.4673118793369,33.43770145,17.9870516998246,77,1181.905397,1.11111111111111,8,46,0.583333333333333,3.26984126984127,25,18.2277263434343,0.713199208451065,-0.785757936854275,-0.907657657657657
795,49.689941,46.008423,47.3436572,46.733276,1.71514841175084,3.63925010526316,15.0870512752141,34.5418884,24.8504981196704,152,1183.59143,0.666666666666667,2,39,0.708333333333333,6.65277777777778,25,20.6563386060606,0.33887903047572,-0.856115445412345,-0.395833333333333
796,49.798462,46.006836,47.36488776,47.020264,1.56786154497369,4.57785515789474,45.7811435686814,32.54910895,61.1537792797296,122,1184.122194,0.909090909090909,4,29,0.583333333333333,5.45601851851852,25,30.560652969697,0.425383581067146,-1.31594754392497,-0.323252688172043
797,49.756592,46.005249,47.35287604,47.524536,1.37623505083804,1.83888346666667,4.15843748305892,34.2015245555556,6.37763838318892,144,1183.821901,0.428571428571429,2,45,0.75,5.86111111111111,25,17.237178989899,0.754183733174554,-0.761435499839693,-0.990476190476191
798,49.781128,46,47.39981932,47.110107,1.43397995546398,4.29512533333333,28.2916407952693,32.9679276315789,72.6974820856317,114,1184.995483,0.727272727272727,6,47,0.666666666666667,5.05694444444444,25,32.0280133333333,0.281004004411138,-1.43256943425286,-0.196153846153846
799,48.941895,46.006103,47.04375988,46.515015,0.981463322781779,0.00480769230769231,0.000277366863905325,45.0947430666667,9.40773516138165,182,1176.093997,0.210526315789474,2,47,0.833333333333333,7.40625,38,0,NaN,-0.771767574060224,NaN
800,49.154907,46.005615,47.3190674,47.015869,1.01577141645759,2.62239075,15.7041606591594,39.0637207058824,26.2912551694928,174,1182.976685,0.4,2,48,0.708333333333333,7.02430555555556,28,0,NaN,-0.560690523190087,NaN
801,49.494141,46.008423,47.62381348,47.727295,1.61772102226442,3.17946215384615,14.9050866521886,32.6865234117647,15.4064382292195,47,1190.595337,1.25,4,-Inf,0.458333333333333,1.76041666666667,25,23.5123107878788,0.808087311001137,-0.960698227320238,-0.841145833333333
802,49.389771,46.004272,47.27751956,46.976929,1.40063147688126,2.97395833333333,58.6067750016812,40.4982253076923,93.6002022082494,164,1181.937989,0.333333333333333,4,40,0.75,7.31944444444444,32,0,NaN,-0.640631260685239,NaN
803,49.38977,46.008301,47.16064944,46.862183,1.16917114584134,6.29780847058823,48.886999596173,33.0613435263158,91.8870910905064,179,1179.016236,0.375,4,40,0.666666666666667,7.20138888888889,28,0,NaN,-0.55796917406303,NaN
804,49.781128,46.000977,47.15318852,46.866455,1.33549031723176,3.181722,35.8856726771062,35.0782920526316,114.101390075331,175,1178.829713,0.571428571428571,4,48,0.791666666666667,8.10714285714286,25,34.9844453333333,0.0857523957123192,-1.73954859873562,-0.0492957746478873
805,49.27063,46.001465,47.28533704,47.186768,1.19890793136012,3.30555013333333,17.2140394254568,28.7805824117647,62.0695183273434,167,1182.133426,0.25,2,47,0.666666666666667,6.71875,25,27.7921809090909,0.323832088940385,-1.17196375045092,-0.276315789473684
806,49.756592,46.003906,47.2330468,47.020264,1.22621201061041,2.69791085714286,26.2389421718776,39.0825845333333,49.3097827594975,164,1180.82617,0.375,2,40,0.666666666666667,6.33333333333333,26,0,NaN,-0.512751178343228,NaN
